"city","area","rooms","bathroom","parking.spaces","floor","animal","furniture","rent.amount","fire.insurance"
"yes",290,4,4,0,0,"acept","not furnished",6800,103
"yes",25,1,1,0,1,"not acept","not furnished",1050,14
"yes",240,4,4,3,9,"acept","not furnished",2144,28
"yes",43,1,1,0,6,"not acept","not furnished",1080,14
"yes",150,3,1,0,3,"not acept","not furnished",4300,55
"yes",20,1,1,0,1,"acept","furnished",1800,23
"yes",48,1,1,0,0,"not acept","not furnished",1100,17
"yes",130,3,1,2,0,"acept","not furnished",3800,58
"yes",36,1,1,0,11,"acept","not furnished",2300,30
"yes",90,2,1,2,0,"acept","not furnished",1560,24
"yes",49,2,1,1,6,"acept","not furnished",2100,27
"no",70,1,1,1,4,"acept","not furnished",870,12
"yes",315,4,4,2,14,"acept","not furnished",7450,95
"yes",270,4,4,4,8,"acept","not furnished",7000,89
"yes",75,3,2,1,1,"not acept","furnished",5700,73
"yes",80,3,3,2,4,"acept","furnished",2100,27
"no",233,3,1,1,0,"acept","not furnished",2700,41
"yes",40,1,1,0,3,"acept","furnished",1840,24
"yes",107,2,4,2,2,"not acept","not furnished",11000,140
"yes",50,2,1,1,1,"not acept","not furnished",2650,34
"yes",113,2,1,1,5,"acept","not furnished",3000,39
"no",52,1,1,1,3,"acept","furnished",3000,39
"yes",170,4,4,3,12,"acept","furnished",1440,19
"yes",140,3,3,2,6,"acept","not furnished",2580,33
"yes",34,1,1,1,14,"acept","not furnished",2800,36
"yes",90,3,2,2,3,"acept","not furnished",2450,32
"yes",197,3,2,1,18,"acept","not furnished",5500,70
"no",146,2,1,1,8,"acept","not furnished",1620,21
"yes",30,1,1,1,9,"not acept","not furnished",3000,39
"yes",132,3,2,2,0,"acept","not furnished",3800,58
"yes",45,1,1,1,10,"not acept","furnished",1800,23
"yes",80,2,2,0,3,"not acept","not furnished",2700,35
"yes",161,4,3,3,0,"acept","not furnished",3600,46
"yes",300,2,3,2,1,"acept","not furnished",4180,53
"yes",450,3,4,2,3,"acept","not furnished",15000,191
"yes",112,3,3,2,11,"not acept","not furnished",3616,13
"yes",192,4,5,4,11,"not acept","furnished",15000,191
"yes",100,1,4,1,0,"acept","not furnished",11000,166
"yes",300,4,5,8,0,"acept","furnished",12000,181
"yes",42,1,1,0,2,"acept","not furnished",2800,36
"yes",45,1,1,0,9,"acept","furnished",1480,19
"no",245,4,3,2,9,"acept","not furnished",10500,134
"yes",60,1,1,0,0,"not acept","not furnished",1600,25
"yes",100,1,2,0,0,"not acept","not furnished",3100,40
"no",210,6,3,0,0,"acept","not furnished",4200,64
"yes",160,3,3,2,8,"acept","not furnished",5000,64
"yes",68,2,1,1,1,"acept","not furnished",1600,21
"yes",52,2,1,1,17,"acept","not furnished",1100,14
"yes",40,1,1,0,0,"not acept","not furnished",750,12
"yes",232,3,4,2,0,"acept","not furnished",3820,58
"yes",42,1,1,1,27,"not acept","not furnished",5300,68
"yes",172,3,4,3,5,"acept","not furnished",9000,115
"no",30,1,1,0,7,"acept","not furnished",500,7
"yes",59,2,1,0,15,"acept","not furnished",1750,23
"yes",50,2,2,1,12,"acept","not furnished",1722,22
"no",49,2,1,1,2,"acept","not furnished",1450,19
"yes",216,4,2,2,2,"acept","not furnished",10000,127
"yes",127,1,1,2,28,"not acept","furnished",12500,159
"yes",226,4,4,4,2,"acept","not furnished",3000,39
"no",76,2,1,0,1,"acept","not furnished",700,9
"yes",50,2,1,1,4,"acept","not furnished",1040,14
"yes",170,3,4,3,21,"acept","not furnished",5000,64
"yes",70,2,2,0,2,"acept","furnished",5500,70
"yes",167,3,3,3,19,"acept","furnished",2800,36
"yes",450,4,2,3,0,"acept","not furnished",13000,196
"no",90,3,1,1,1,"acept","not furnished",960,13
"yes",89,2,2,2,1,"acept","furnished",3327,43
"yes",61,3,2,1,4,"acept","not furnished",3000,39
"yes",100,2,2,5,0,"acept","not furnished",6800,103
"yes",180,3,2,1,23,"acept","not furnished",7000,89
"yes",39,1,1,0,3,"acept","furnished",1700,22
"no",73,3,1,1,4,"acept","not furnished",850,11
"yes",90,2,3,0,0,"acept","not furnished",3400,52
"no",231,3,5,4,4,"acept","furnished",12000,153
"yes",250,5,2,6,0,"acept","not furnished",9000,136
"yes",20,1,1,0,6,"acept","furnished",1800,23
"no",300,4,5,2,0,"acept","not furnished",6000,91
"yes",42,1,1,0,1,"acept","not furnished",1000,13
"yes",280,4,4,3,2,"acept","furnished",4000,51
"no",44,2,1,1,4,"acept","furnished",1800,23
"yes",64,2,2,1,13,"acept","not furnished",2600,33
"yes",218,3,2,2,6,"not acept","not furnished",7800,99
"yes",140,2,1,3,0,"acept","not furnished",2500,38
"yes",86,2,1,1,0,"acept","not furnished",2200,34
"yes",100,2,2,1,0,"acept","not furnished",2000,31
"yes",50,1,1,0,2,"not acept","not furnished",720,10
"yes",128,2,3,2,5,"not acept","not furnished",15000,191
"yes",45,1,1,2,8,"acept","not furnished",1800,23
"yes",180,3,2,4,0,"acept","not furnished",3600,55
"yes",350,4,3,4,0,"acept","not furnished",4000,61
"yes",54,2,2,1,6,"not acept","not furnished",2300,30
"yes",60,2,2,1,11,"acept","not furnished",4000,51
"yes",200,2,1,0,0,"acept","not furnished",2800,43
"yes",520,3,4,3,0,"acept","furnished",7000,106
"yes",112,3,2,1,8,"acept","not furnished",3850,49
"yes",104,3,2,1,0,"not acept","not furnished",7500,113
"yes",90,1,1,0,1,"not acept","not furnished",1550,20
"yes",273,3,2,5,0,"not acept","not furnished",2750,42
"yes",74,2,2,0,10,"acept","not furnished",1650,21
"yes",40,1,1,1,8,"not acept","not furnished",1675,22
"yes",120,3,3,2,0,"acept","not furnished",2580,39
"yes",60,2,1,1,6,"acept","not furnished",1480,19
"yes",50,1,1,1,0,"not acept","not furnished",900,14
"no",398,5,6,0,2,"acept","not furnished",8500,108
"yes",90,2,2,2,8,"acept","not furnished",4500,58
"yes",106,3,3,1,2,"acept","not furnished",2500,32
"yes",22,1,1,0,6,"not acept","furnished",6000,77
"yes",167,3,3,4,10,"acept","not furnished",5500,70
"yes",250,3,3,2,3,"acept","not furnished",9500,121
"yes",246,4,4,4,4,"not acept","not furnished",12000,153
"yes",40,1,1,0,0,"not acept","not furnished",1094,17
"yes",76,2,2,1,1,"acept","furnished",3000,39
"yes",202,4,3,4,5,"acept","not furnished",12000,153
"yes",60,2,1,1,1,"acept","furnished",3205,11
"yes",65,2,2,2,2,"acept","furnished",3000,39
"yes",142,3,4,3,2,"acept","not furnished",5000,64
"yes",200,3,4,2,10,"acept","not furnished",7000,89
"no",60,2,3,0,1,"not acept","furnished",1940,25
"yes",58,2,2,1,3,"acept","not furnished",2200,28
"yes",80,2,1,0,4,"acept","not furnished",3000,39
"yes",201,4,3,2,7,"acept","not furnished",6999,89
"yes",94,3,2,2,3,"acept","not furnished",2000,26
"yes",410,5,7,3,0,"acept","furnished",12000,181
"no",87,4,2,2,4,"acept","not furnished",1600,21
"yes",190,3,2,1,3,"acept","not furnished",4000,51
"yes",45,1,1,0,3,"acept","furnished",3000,39
"yes",254,3,5,4,18,"acept","not furnished",10000,127
"yes",145,4,4,3,15,"acept","not furnished",7300,93
"yes",82,3,2,2,19,"not acept","not furnished",1994,26
"yes",360,4,5,2,4,"acept","not furnished",15000,191
"yes",25,1,1,0,1,"not acept","not furnished",1200,16
"no",145,3,2,2,6,"not acept","not furnished",2200,28
"yes",95,2,3,2,14,"acept","furnished",5825,24
"yes",60,2,2,2,20,"acept","not furnished",2872,20
"no",37,1,1,1,7,"not acept","not furnished",825,11
"yes",50,2,1,1,3,"acept","furnished",1600,21
"yes",100,2,1,1,0,"not acept","not furnished",1450,22
"yes",167,3,2,1,7,"acept","not furnished",10850,138
"yes",240,4,4,1,0,"acept","not furnished",9000,136
"yes",20,1,1,0,3,"not acept","not furnished",1530,20
"yes",160,3,3,2,0,"acept","not furnished",5500,83
"yes",100,1,2,2,3,"not acept","not furnished",5000,64
"yes",63,2,2,2,10,"not acept","furnished",2000,26
"yes",73,2,2,1,14,"acept","not furnished",1350,18
"yes",67,2,1,1,3,"not acept","not furnished",2600,33
"yes",134,2,2,1,7,"not acept","furnished",3400,44
"yes",150,2,2,1,0,"acept","not furnished",2954,45
"yes",300,3,5,4,0,"acept","not furnished",4490,68
"yes",197,3,4,3,12,"acept","not furnished",9000,115
"no",53,2,1,1,0,"acept","not furnished",2000,26
"no",136,3,2,1,6,"acept","not furnished",1274,17
"no",150,3,4,2,9,"acept","not furnished",3400,44
"yes",40,1,1,1,2,"acept","not furnished",2803,36
"yes",300,4,4,5,11,"acept","not furnished",11000,140
"yes",250,4,3,4,0,"acept","not furnished",7200,109
"yes",80,2,1,0,1,"acept","furnished",3000,39
"yes",109,1,1,2,5,"not acept","furnished",11500,146
"no",47,1,1,0,3,"not acept","not furnished",530,7
"no",72,3,3,1,10,"not acept","not furnished",1700,22
"yes",35,1,1,0,0,"not acept","not furnished",1900,29
"yes",200,4,2,1,0,"not acept","not furnished",2500,38
"yes",20,1,1,0,0,"not acept","not furnished",790,11
"yes",49,2,1,1,15,"acept","not furnished",1300,17
"yes",213,2,2,3,0,"acept","not furnished",5150,78
"yes",110,3,3,1,10,"acept","furnished",4800,61
"yes",40,1,1,0,0,"not acept","not furnished",870,14
"yes",38,1,1,0,1,"acept","not furnished",1350,18
"yes",40,1,1,1,10,"acept","furnished",2829,33
"yes",188,3,3,3,4,"acept","furnished",8000,102
"yes",90,1,1,1,13,"acept","not furnished",2107,9
"no",415,4,4,6,1,"acept","not furnished",9500,121
"yes",500,3,2,8,0,"acept","not furnished",4000,61
"no",135,3,2,1,7,"acept","furnished",3100,40
"yes",130,2,2,2,0,"acept","not furnished",2500,38
"yes",90,1,2,2,9,"acept","furnished",2900,37
"yes",79,1,2,2,25,"not acept","furnished",5500,70
"yes",160,3,3,0,0,"not acept","not furnished",5000,76
"yes",130,3,2,2,0,"acept","furnished",3000,46
"yes",256,3,5,4,13,"acept","furnished",9000,115
"yes",70,2,1,1,7,"not acept","not furnished",1433,6
"yes",220,4,2,2,3,"not acept","not furnished",8000,102
"yes",35,1,1,0,1,"not acept","not furnished",1305,17
"yes",73,3,2,2,1,"acept","not furnished",2500,32
"yes",180,3,3,1,14,"acept","not furnished",5000,64
"yes",45,1,1,1,3,"acept","furnished",2450,32
"yes",260,2,2,2,0,"not acept","not furnished",3800,58
"yes",44,1,1,0,1,"acept","not furnished",1400,18
"yes",60,2,2,1,11,"not acept","furnished",3500,45
"yes",101,3,3,2,16,"acept","furnished",7500,29
"yes",28,1,1,0,0,"not acept","furnished",1650,21
"yes",38,1,1,1,16,"acept","furnished",2500,12
"no",103,3,2,1,9,"not acept","not furnished",1800,23
"yes",126,4,3,2,4,"not acept","not furnished",4500,58
"yes",70,3,2,1,7,"acept","not furnished",2800,36
"yes",60,1,2,0,0,"acept","not furnished",1062,16
"no",80,3,1,1,1,"acept","not furnished",1250,16
"yes",97,3,2,2,2,"not acept","not furnished",2600,33
"yes",287,3,4,4,0,"acept","furnished",9000,136
"yes",300,4,2,4,27,"acept","not furnished",10000,127
"yes",470,4,5,4,0,"acept","furnished",10200,154
"yes",70,2,1,0,0,"acept","not furnished",3000,46
"yes",320,3,5,0,10,"not acept","not furnished",6000,77
"yes",50,1,1,1,4,"acept","furnished",3223,41
"no",70,2,1,0,2,"acept","not furnished",700,9
"yes",380,4,7,7,15,"acept","not furnished",15000,191
"yes",170,3,3,3,8,"acept","furnished",2800,36
"yes",55,2,1,1,11,"acept","furnished",1700,22
"yes",100,2,1,1,0,"acept","not furnished",3800,58
"yes",160,3,3,2,8,"acept","not furnished",4075,19
"yes",240,4,5,4,2,"acept","furnished",7000,89
"yes",180,4,4,4,68,"acept","not furnished",7000,89
"yes",150,2,3,1,25,"acept","furnished",7600,97
"yes",49,2,1,1,13,"acept","not furnished",1606,6
"yes",125,3,3,1,6,"acept","furnished",5500,70
"yes",59,2,1,1,9,"acept","not furnished",1300,17
"yes",145,3,3,1,5,"acept","furnished",6600,84
"yes",70,1,1,0,0,"not acept","not furnished",1086,17
"yes",217,4,4,3,3,"acept","furnished",5000,64
"yes",178,3,4,4,6,"acept","furnished",10200,130
"yes",95,3,2,1,7,"acept","not furnished",2300,30
"yes",102,3,3,2,9,"acept","not furnished",3762,27
"yes",80,2,2,1,0,"not acept","not furnished",2188,10
"yes",212,3,3,2,17,"acept","not furnished",5750,73
"yes",34,1,1,1,15,"not acept","furnished",2900,13
"yes",300,4,4,4,3,"acept","not furnished",6700,85
"yes",220,3,4,3,12,"acept","furnished",8000,102
"yes",54,1,1,0,8,"acept","furnished",3949,51
"yes",65,2,1,1,12,"acept","furnished",1700,22
"yes",45,1,1,0,0,"acept","not furnished",1500,23
"yes",26,1,1,1,3,"acept","furnished",1396,18
"yes",52,2,2,1,4,"not acept","not furnished",1499,19
"yes",32,1,1,0,9,"acept","not furnished",1300,17
"yes",130,2,1,0,1,"acept","not furnished",2150,28
"yes",23,1,1,0,23,"acept","not furnished",2100,27
"yes",200,3,2,3,0,"acept","not furnished",2900,44
"yes",157,3,2,0,7,"acept","not furnished",4500,58
"yes",130,3,2,1,2,"not acept","not furnished",4500,58
"yes",82,2,2,0,3,"not acept","not furnished",1400,18
"yes",100,1,1,0,0,"acept","furnished",2720,41
"yes",845,5,9,6,0,"acept","furnished",8499,128
"yes",70,2,2,1,2,"acept","not furnished",2200,28
"yes",100,2,3,1,11,"acept","furnished",9800,125
"yes",110,2,1,0,8,"acept","not furnished",1500,20
"no",46,1,1,1,10,"acept","not furnished",580,8
"yes",250,3,4,2,0,"acept","not furnished",6000,91
"yes",27,1,1,1,6,"acept","not furnished",1247,9
"yes",140,3,3,1,2,"acept","furnished",3000,39
"yes",77,2,1,1,5,"acept","not furnished",3100,40
"yes",550,4,5,5,0,"acept","not furnished",5000,76
"yes",50,2,1,1,8,"acept","not furnished",1700,22
"yes",42,1,1,1,17,"not acept","furnished",1900,25
"yes",420,5,6,3,13,"acept","not furnished",10000,127
"yes",203,3,3,4,3,"acept","not furnished",7000,89
"yes",180,2,2,2,0,"acept","furnished",3084,47
"yes",270,3,4,4,4,"acept","furnished",4800,61
"yes",180,3,3,2,1,"acept","not furnished",7200,92
"yes",24,2,2,1,13,"acept","not furnished",5500,70
"yes",62,2,1,1,7,"acept","not furnished",1800,23
"yes",85,2,2,2,5,"not acept","not furnished",5646,72
"yes",120,3,2,2,19,"acept","furnished",4500,58
"no",47,2,1,1,4,"acept","not furnished",900,12
"no",180,3,2,1,11,"acept","not furnished",2200,28
"yes",216,4,4,3,3,"not acept","furnished",8000,102
"yes",300,5,6,4,0,"acept","not furnished",8700,131
"yes",226,3,3,0,0,"acept","furnished",6000,91
"yes",70,1,1,0,0,"not acept","not furnished",1520,23
"no",100,2,2,0,0,"acept","not furnished",1700,26
"yes",23,1,1,0,23,"acept","not furnished",2050,26
"yes",600,4,3,3,1,"acept","not furnished",3750,48
"no",550,3,7,8,0,"acept","not furnished",7700,116
"yes",30,1,1,0,2,"not acept","not furnished",870,12
"yes",126,4,2,2,4,"acept","not furnished",3000,39
"yes",340,4,4,0,0,"acept","not furnished",4000,61
"yes",239,4,4,4,15,"acept","not furnished",5500,70
"yes",50,1,1,1,25,"acept","furnished",3445,19
"yes",600,4,4,4,9,"acept","not furnished",8500,108
"no",63,1,1,0,6,"acept","furnished",1280,17
"yes",62,2,1,1,12,"not acept","furnished",1236,16
"no",202,3,2,4,0,"acept","not furnished",3500,53
"yes",275,4,5,4,1,"acept","not furnished",9700,123
"yes",44,1,1,1,9,"acept","furnished",1900,25
"yes",69,2,1,1,5,"acept","not furnished",1600,21
"yes",48,1,1,2,15,"not acept","furnished",6800,87
"yes",90,3,2,1,4,"acept","not furnished",2066,27
"yes",140,3,2,2,13,"not acept","not furnished",2000,26
"yes",100,1,2,2,13,"acept","furnished",3220,15
"yes",242,5,3,2,0,"acept","not furnished",4250,64
"yes",130,3,4,3,7,"acept","not furnished",2400,31
"yes",47,1,1,1,8,"not acept","not furnished",1350,18
"yes",100,2,3,2,7,"acept","furnished",4000,51
"yes",88,2,4,2,8,"acept","not furnished",2500,32
"yes",20,1,1,0,3,"acept","furnished",1800,23
"yes",40,1,1,0,0,"not acept","not furnished",1300,17
"yes",43,1,1,1,5,"not acept","not furnished",3200,41
"yes",100,3,2,0,14,"acept","not furnished",2500,32
"yes",110,3,2,2,2,"acept","not furnished",5500,70
"yes",25,1,1,0,0,"not acept","not furnished",1000,16
"yes",48,2,1,0,8,"not acept","not furnished",2000,26
"yes",130,3,3,4,9,"not acept","not furnished",2210,28
"yes",23,1,1,0,23,"acept","not furnished",2100,27
"yes",62,3,1,1,8,"acept","not furnished",1260,16
"yes",38,1,1,0,0,"not acept","not furnished",1650,25
"yes",100,1,2,2,11,"acept","not furnished",5850,75
"yes",190,3,3,2,0,"acept","furnished",11000,166
"yes",37,1,1,0,6,"acept","not furnished",1100,14
"yes",240,3,4,5,9,"acept","not furnished",6400,82
"yes",120,3,2,2,5,"acept","not furnished",1900,25
"yes",130,3,2,2,1,"acept","furnished",3500,45
"yes",80,3,1,1,10,"not acept","furnished",1400,18
"no",80,1,1,1,7,"acept","not furnished",3000,39
"yes",58,2,1,0,16,"not acept","furnished",4200,54
"yes",110,2,2,1,6,"not acept","not furnished",3960,51
"yes",40,1,1,1,7,"acept","not furnished",2400,31
"yes",362,4,5,2,0,"acept","not furnished",7000,106
"yes",412,3,5,6,21,"acept","not furnished",3952,51
"yes",160,3,3,4,3,"acept","not furnished",5000,64
"yes",55,2,1,0,5,"acept","furnished",2400,31
"yes",200,3,4,4,0,"acept","not furnished",4500,68
"yes",165,3,2,3,16,"acept","not furnished",3730,48
"yes",65,2,1,0,0,"acept","not furnished",1300,17
"no",230,3,5,4,6,"acept","not furnished",7500,96
"yes",86,2,1,1,1,"acept","not furnished",3320,42
"yes",122,3,2,1,17,"acept","not furnished",3860,49
"yes",51,2,1,1,0,"acept","not furnished",1800,23
"yes",94,3,2,2,1,"acept","not furnished",3570,46
"no",80,2,2,1,5,"acept","not furnished",1150,15
"yes",85,2,2,0,17,"acept","furnished",6000,43
"yes",130,3,2,1,9,"not acept","not furnished",4500,58
"yes",23,1,1,0,23,"acept","not furnished",2100,27
"yes",60,1,1,0,0,"acept","not furnished",1000,16
"yes",75,1,2,0,4,"acept","not furnished",2100,27
"yes",55,3,1,1,7,"acept","furnished",1800,23
"yes",240,3,4,3,8,"acept","not furnished",7000,89
"yes",119,3,2,1,7,"acept","not furnished",3500,45
"yes",278,4,3,3,3,"acept","not furnished",10000,127
"yes",69,3,2,1,8,"acept","not furnished",2000,26
"no",100,2,2,1,11,"acept","not furnished",2000,26
"yes",55,2,1,1,9,"not acept","not furnished",1750,23
"yes",76,2,1,0,2,"acept","not furnished",2290,30
"yes",200,3,4,3,19,"acept","furnished",8500,33
"no",86,2,2,1,2,"acept","not furnished",1250,16
"yes",87,2,2,1,11,"acept","not furnished",5000,64
"yes",80,2,1,2,0,"acept","not furnished",2000,31
"yes",57,2,1,1,7,"acept","not furnished",1500,20
"no",35,1,1,0,8,"acept","not furnished",500,7
"yes",60,2,1,1,6,"acept","not furnished",1200,16
"yes",180,2,1,0,0,"acept","not furnished",2300,35
"no",45,1,1,1,2,"acept","not furnished",1100,14
"yes",320,8,4,0,0,"acept","not furnished",11000,166
"yes",350,5,4,3,16,"acept","not furnished",15000,191
"yes",67,2,1,0,3,"acept","not furnished",1050,14
"yes",178,3,3,3,8,"acept","furnished",8300,106
"no",54,2,1,1,3,"acept","not furnished",1099,14
"yes",50,1,1,0,0,"acept","not furnished",900,14
"yes",450,4,5,7,0,"acept","furnished",12000,181
"no",138,3,4,3,16,"acept","not furnished",5200,66
"yes",129,3,4,3,6,"acept","furnished",2500,32
"yes",118,3,3,2,17,"acept","furnished",3890,50
"yes",340,4,5,4,2,"not acept","furnished",5500,70
"yes",383,4,5,6,0,"acept","not furnished",10200,154
"yes",13,1,1,0,1,"acept","not furnished",2200,28
"yes",167,3,2,1,14,"acept","furnished",9500,121
"yes",399,3,5,4,21,"acept","not furnished",12000,153
"no",46,1,1,1,4,"not acept","furnished",1100,14
"yes",74,3,2,2,15,"acept","not furnished",1450,19
"yes",800,5,4,8,0,"acept","not furnished",14200,214
"yes",180,3,4,3,15,"acept","not furnished",8900,113
"yes",180,3,3,1,8,"not acept","not furnished",6000,77
"yes",303,4,5,1,0,"acept","furnished",9000,126
"yes",45,1,1,1,2,"not acept","furnished",2970,38
"yes",220,3,2,2,13,"acept","not furnished",3800,49
"no",70,2,1,1,7,"acept","not furnished",1300,17
"yes",101,2,3,1,9,"not acept","furnished",5600,71
"yes",72,2,1,1,7,"acept","not furnished",1440,19
"no",200,3,4,2,4,"not acept","not furnished",2000,26
"yes",250,3,2,1,2,"acept","not furnished",8500,108
"yes",126,2,1,0,0,"acept","not furnished",1700,26
"yes",290,3,3,2,0,"acept","furnished",15000,226
"yes",166,2,1,5,0,"acept","furnished",2200,34
"yes",133,3,2,0,6,"acept","not furnished",2957,38
"yes",208,3,4,3,1,"acept","not furnished",3800,49
"yes",178,3,3,0,17,"acept","not furnished",6400,82
"yes",49,2,1,1,5,"acept","not furnished",1650,21
"yes",42,1,1,1,6,"acept","furnished",1861,7
"yes",236,3,4,5,0,"acept","not furnished",3700,56
"yes",50,1,1,0,0,"acept","not furnished",820,13
"yes",45,1,1,0,3,"acept","not furnished",1137,8
"yes",60,1,1,1,8,"acept","not furnished",4600,59
"yes",180,3,2,2,3,"acept","not furnished",2500,32
"yes",68,2,2,1,14,"acept","not furnished",2083,27
"yes",35,1,1,0,4,"acept","not furnished",1248,16
"yes",170,3,3,4,4,"acept","not furnished",5000,64
"yes",101,3,2,2,12,"acept","not furnished",5500,70
"yes",35,1,1,0,2,"not acept","furnished",1587,21
"yes",155,4,5,3,3,"not acept","not furnished",3500,45
"yes",213,3,4,3,2,"acept","not furnished",3800,49
"yes",110,2,3,3,0,"acept","not furnished",2200,34
"yes",70,2,1,1,8,"not acept","not furnished",2000,26
"no",44,1,1,0,7,"acept","not furnished",550,7
"yes",73,2,2,1,16,"acept","not furnished",2240,29
"yes",285,4,5,4,6,"acept","furnished",20000,254
"yes",40,1,1,0,0,"not acept","not furnished",780,12
"yes",330,5,6,2,11,"acept","not furnished",8950,114
"yes",140,3,3,2,12,"not acept","not furnished",2400,31
"yes",120,3,4,3,4,"acept","not furnished",4440,57
"yes",60,3,2,1,0,"acept","furnished",2430,37
"yes",311,3,6,4,23,"not acept","furnished",12500,159
"yes",92,2,2,0,2,"acept","not furnished",2650,34
"yes",380,3,3,4,0,"acept","furnished",4200,64
"yes",69,2,2,2,8,"acept","furnished",3063,13
"yes",60,2,2,1,1,"acept","not furnished",2514,32
"no",85,3,1,2,9,"acept","not furnished",2600,33
"yes",140,4,2,1,8,"acept","furnished",2400,31
"yes",50,2,1,1,14,"acept","not furnished",1500,20
"yes",25,1,1,0,1,"not acept","not furnished",885,12
"yes",250,3,1,0,0,"acept","not furnished",4300,65
"yes",178,3,3,4,12,"not acept","furnished",15000,191
"yes",145,3,3,2,2,"acept","not furnished",11000,140
"yes",36,1,1,0,2,"acept","furnished",1684,6
"no",144,4,3,2,13,"acept","not furnished",1750,23
"yes",70,2,1,0,0,"acept","not furnished",1300,20
"yes",30,1,1,0,12,"acept","furnished",3300,42
"yes",53,2,2,1,15,"acept","not furnished",2100,27
"no",350,4,6,6,0,"acept","not furnished",7600,115
"yes",30,1,1,0,2,"not acept","not furnished",2060,27
"yes",17,1,1,0,2,"acept","not furnished",2700,35
"yes",200,3,3,1,5,"acept","not furnished",3200,41
"yes",100,2,1,0,0,"acept","not furnished",1100,17
"yes",127,3,2,1,10,"acept","not furnished",6156,78
"yes",58,2,1,0,13,"acept","not furnished",1480,19
"yes",25,1,1,0,2,"not acept","not furnished",620,8
"no",92,3,2,3,17,"acept","not furnished",3700,47
"yes",320,3,4,4,5,"acept","furnished",15000,191
"no",82,1,1,1,0,"acept","not furnished",1200,16
"yes",65,2,2,1,12,"not acept","furnished",6000,77
"yes",80,2,1,0,0,"acept","not furnished",1439,22
"yes",50,1,1,1,12,"not acept","furnished",3148,11
"yes",50,2,1,1,8,"acept","not furnished",1100,14
"yes",20,1,1,0,9,"acept","furnished",1650,12
"no",164,3,2,2,0,"acept","not furnished",2100,32
"yes",260,4,5,5,3,"acept","furnished",15000,191
"yes",40,1,1,0,0,"acept","not furnished",960,15
"no",200,3,3,3,0,"acept","not furnished",2000,31
"yes",22,1,1,0,26,"acept","not furnished",2050,26
"yes",390,3,3,2,1,"not acept","not furnished",6500,83
"yes",141,3,3,2,0,"acept","not furnished",4000,61
"yes",55,2,2,1,5,"acept","not furnished",1850,24
"yes",55,2,1,1,11,"acept","not furnished",1300,17
"no",300,3,3,4,0,"acept","not furnished",3800,58
"no",96,2,3,2,8,"not acept","not furnished",4169,53
"yes",100,3,2,1,0,"acept","not furnished",3500,53
"yes",50,2,1,1,1,"acept","not furnished",1200,16
"no",250,2,1,6,0,"acept","not furnished",2200,34
"no",74,3,2,1,17,"acept","not furnished",1120,15
"yes",62,2,2,1,9,"acept","furnished",2500,32
"yes",70,1,1,0,4,"not acept","not furnished",1300,17
"yes",18,1,1,0,0,"acept","not furnished",1720,22
"yes",80,2,2,2,0,"acept","furnished",5500,70
"no",62,2,1,2,7,"acept","not furnished",1500,20
"no",77,3,1,0,0,"acept","not furnished",1000,13
"yes",86,2,1,1,12,"acept","not furnished",3007,39
"yes",56,2,2,2,1,"acept","not furnished",1630,21
"yes",69,2,1,0,4,"acept","not furnished",3000,22
"yes",126,3,2,2,13,"acept","not furnished",2400,31
"yes",70,2,1,1,8,"acept","not furnished",2960,38
"yes",205,3,3,4,0,"acept","not furnished",6500,98
"yes",70,2,1,1,7,"acept","not furnished",1727,6
"yes",130,2,2,2,3,"acept","not furnished",6200,79
"yes",63,2,2,1,0,"acept","not furnished",1920,29
"yes",36,1,1,0,11,"acept","not furnished",2100,27
"yes",102,3,3,0,7,"acept","not furnished",3500,45
"yes",49,1,1,1,3,"not acept","not furnished",2300,30
"yes",360,3,5,3,14,"not acept","not furnished",12500,159
"yes",16,1,1,0,6,"not acept","not furnished",1173,7
"yes",120,2,3,1,15,"not acept","furnished",8500,108
"no",330,4,6,6,0,"acept","furnished",8000,121
"yes",40,1,1,0,1,"not acept","not furnished",980,13
"yes",188,3,3,1,4,"not acept","furnished",6000,77
"yes",700,4,7,8,0,"acept","not furnished",45000,677
"yes",105,1,1,2,29,"not acept","not furnished",8700,111
"yes",230,5,5,3,0,"acept","not furnished",9900,149
"yes",60,2,1,1,3,"acept","not furnished",1600,21
"yes",70,2,1,1,0,"acept","not furnished",1300,17
"no",55,2,1,1,3,"acept","not furnished",940,12
"yes",100,3,3,2,13,"acept","not furnished",6300,80
"yes",270,3,4,0,1,"acept","not furnished",3500,45
"yes",36,1,1,1,9,"acept","furnished",2600,10
"yes",105,2,2,2,8,"acept","not furnished",6500,83
"yes",120,2,1,1,0,"acept","not furnished",4000,61
"yes",16,1,1,0,1,"not acept","not furnished",850,11
"yes",300,4,4,4,12,"acept","not furnished",10000,127
"yes",115,2,2,1,18,"acept","furnished",6500,83
"yes",67,1,2,1,12,"acept","furnished",2850,37
"yes",100,2,1,0,0,"not acept","not furnished",2000,31
"yes",320,4,4,8,0,"acept","not furnished",7000,106
"yes",77,2,1,0,3,"acept","not furnished",2050,26
"yes",270,3,4,2,6,"acept","not furnished",6500,83
"no",104,2,3,2,1,"acept","furnished",4600,59
"yes",70,2,1,1,7,"acept","furnished",1800,23
"yes",68,1,1,0,3,"acept","not furnished",1500,20
"yes",410,4,5,5,1,"acept","not furnished",20000,254
"yes",60,1,1,0,3,"not acept","not furnished",1200,16
