city,area,rooms,bathroom,parking spaces,floor,animal,furniture,rent amount,fire insurance,total
yes,49,2,1,1,14,acept,not furnished,"R$1,800",R$23,"R$2,388"
yes,46,2,1,1,6,acept,not furnished,"R$1,434",R$19,"R$1,742"
yes,32,1,1,0,7,acept,not furnished,"R$1,800",R$23,"R$2,123"
yes,360,7,6,6,-,acept,not furnished,"R$5,270",R$80,"R$5,595"
yes,37,1,1,0,-,not acept,not furnished,"R$1,180",R$7,"R$1,244"
yes,54,1,1,0,5,acept,not furnished,"R$1,500",R$20,"R$2,250"
yes,124,3,2,1,4,not acept,furnished,"R$2,750",R$35,"R$4,144"
yes,114,3,2,2,9,acept,not furnished,"R$3,780",R$48,"R$4,828"
no,101,3,2,1,5,acept,not furnished,"R$2,800",R$36,"R$3,707"
yes,450,5,5,4,-,not acept,not furnished,"R$5,740",R$87,"R$6,347"
yes,126,2,2,2,8,acept,not furnished,"R$2,300",R$30,"R$3,593"
yes,54,2,1,1,2,not acept,not furnished,"R$1,869",R$7,"R$2,226"
yes,48,2,1,1,10,acept,not furnished,"R$1,650",R$21,"R$2,122"
yes,280,3,5,3,-,acept,not furnished,"R$5,700",R$86,"R$6,222"
yes,164,3,4,2,13,acept,not furnished,"R$12,500",R$159,"R$16,470"
yes,113,3,1,1,5,acept,not furnished,"R$3,000",R$39,"R$4,089"
yes,72,3,2,2,10,acept,not furnished,"R$3,500",R$45,"R$4,290"
yes,500,4,3,5,-,not acept,furnished,"R$12,000",R$181,"R$12,270"
no,140,2,1,1,7,acept,not furnished,"R$2,600",R$33,"R$4,083"
yes,260,4,5,5,3,acept,not furnished,"R$11,000",R$140,"R$17,010"
yes,40,1,1,0,-,not acept,not furnished,R$780,R$12,R$809
no,62,2,1,1,3,acept,not furnished,R$650,R$9,"R$1,208"
yes,42,1,2,1,6,not acept,not furnished,"R$2,500",R$32,"R$316,900"
yes,565,4,5,6,-,acept,furnished,"R$14,850",R$224,"R$19,520"
yes,500,5,5,8,1,acept,not furnished,"R$9,800",R$148,"R$10,040"
yes,178,3,5,2,8,acept,not furnished,"R$2,468",R$32,"R$5,242"
yes,30,1,1,0,15,not acept,not furnished,"R$1,650",R$25,"R$2,375"
yes,250,3,3,2,-,acept,not furnished,"R$9,500",R$143,"R$10,250"
yes,35,1,1,0,1,not acept,not furnished,"R$1,305",R$17,"R$1,572"
yes,120,2,3,2,5,acept,furnished,"R$11,500",R$146,"R$13,700"
yes,190,4,4,2,4,acept,not furnished,"R$3,200",R$41,"R$5,375"
yes,420,4,6,4,1,not acept,not furnished,"R$14,000",R$178,"R$19,800"
yes,40,1,1,0,-,not acept,not furnished,"R$1,350",R$21,"R$1,451"
yes,57,2,1,1,3,acept,not furnished,"R$1,300",R$17,"R$1,846"
yes,38,1,1,0,19,not acept,not furnished,"R$1,000",R$13,"R$1,642"
yes,174,3,4,1,-,acept,furnished,"R$5,054",R$26,"R$5,519"
no,92,2,3,2,5,not acept,not furnished,"R$4,200",R$54,"R$5,789"
no,80,3,1,4,-,acept,not furnished,"R$5,500",R$83,"R$5,583"
yes,50,1,2,1,3,acept,furnished,"R$2,826",R$9,"R$3,959"
yes,100,3,2,2,2,acept,not furnished,"R$2,000",R$26,"R$4,248"
yes,70,2,1,2,7,acept,not furnished,"R$1,400",R$18,"R$2,117"
yes,210,4,2,2,-,acept,not furnished,"R$8,000",R$121,"R$8,805"
yes,35,1,1,0,5,not acept,not furnished,"R$1,900",R$25,"R$2,375"
yes,50,2,3,0,-,not acept,not furnished,"R$1,740",R$27,"R$1,851"
yes,109,3,2,1,11,not acept,not furnished,"R$4,250",R$54,"R$5,813"
yes,80,2,3,0,6,acept,not furnished,"R$3,300",R$42,"R$5,081"
no,69,2,1,1,2,acept,not furnished,R$800,R$11,"R$1,121"
yes,253,4,5,3,16,acept,not furnished,"R$4,100",R$52,"R$6,252"
yes,74,2,2,1,9,not acept,furnished,"R$5,850",R$75,"R$7,225"
no,210,3,3,0,-,acept,not furnished,"R$3,050",R$46,"R$3,396"
yes,70,3,2,1,3,acept,not furnished,"R$1,290",R$17,"R$1,779"
yes,390,3,3,3,1,acept,not furnished,"R$6,700",R$85,"R$10,530"
yes,30,1,1,0,9,not acept,furnished,"R$1,965",R$25,"R$2,834"
yes,76,3,2,2,8,acept,furnished,"R$3,500",R$45,"R$4,425"
yes,128,2,3,1,4,acept,not furnished,"R$4,339",R$55,"R$5,234"
yes,50,1,1,0,-,not acept,not furnished,"R$1,200",R$19,"R$1,303"
yes,100,2,2,1,10,acept,furnished,"R$1,979",R$26,"R$3,530"
yes,237,3,5,3,8,acept,furnished,"R$5,500",R$70,"R$8,687"
no,80,2,1,1,3,acept,not furnished,"R$1,000",R$13,"R$1,431"
yes,108,3,2,2,3,not acept,not furnished,"R$3,000",R$39,"R$4,212"
yes,50,1,1,0,6,not acept,not furnished,"R$1,209",R$8,"R$1,813"
yes,70,1,1,0,-,acept,not furnished,"R$1,475",R$23,"R$1,588"
yes,156,3,3,5,-,not acept,not furnished,"R$4,000",R$34,"R$4,034"
yes,217,3,4,4,17,acept,furnished,"R$14,500",R$184,"R$17,990"
yes,82,3,2,2,2,acept,not furnished,"R$1,500",R$20,"R$2,779"
yes,52,2,1,1,7,acept,not furnished,"R$1,200",R$16,"R$1,871"
yes,620,4,5,5,8,acept,not furnished,"R$15,000",R$191,"R$28,310"
yes,320,3,4,4,7,acept,furnished,"R$15,000",R$191,"R$20,290"
no,66,2,2,1,2,not acept,furnished,"R$2,270",R$29,"R$2,911"
yes,200,4,4,4,-,acept,not furnished,"R$4,500",R$68,"R$5,018"
yes,113,2,2,1,6,acept,not furnished,"R$3,000",R$39,"R$4,089"
yes,170,4,2,1,3,acept,furnished,"R$5,200",R$66,"R$8,273"
yes,45,1,1,1,3,acept,not furnished,"R$3,200",R$41,"R$3,866"
no,47,1,1,0,2,acept,not furnished,R$420,R$6,"R$1,112"
yes,80,2,1,1,18,not acept,not furnished,"R$1,500",R$20,"R$2,237"
yes,260,3,5,4,12,acept,not furnished,"R$7,000",R$89,"R$10,780"
yes,122,3,2,3,11,acept,not furnished,"R$1,650",R$21,"R$3,420"
yes,84,3,2,2,7,not acept,not furnished,"R$2,640",R$34,"R$4,314"
yes,28,1,1,0,9,not acept,furnished,"R$2,300",R$30,"R$2,779"
yes,155,2,3,2,-,acept,not furnished,"R$4,000",R$61,"R$4,438"
yes,58,2,1,1,2,acept,furnished,"R$1,805",R$23,"R$2,568"
yes,52,2,1,1,3,not acept,not furnished,"R$1,138",R$9,"R$1,487"
no,75,2,1,2,1,acept,not furnished,"R$1,600",R$21,"R$3,006"
no,72,3,1,1,1,acept,furnished,"R$1,075",R$14,"R$1,608"
yes,260,3,4,4,4,acept,furnished,"R$12,000",R$153,"R$17,150"
yes,35,1,1,0,1,not acept,furnished,"R$1,650",R$21,"R$1,671"
yes,25,1,1,1,8,acept,furnished,"R$4,000",R$51,"R$4,051"
yes,216,4,5,3,2,acept,furnished,"R$3,000",R$39,"R$6,423"
yes,215,4,6,3,2,acept,furnished,"R$5,700",R$73,"R$8,832"
yes,750,4,6,2,-,acept,not furnished,"R$15,000",R$226,"R$17,270"
yes,80,2,2,2,-,acept,not furnished,"R$1,850",R$28,"R$2,101"
no,50,1,1,1,5,not acept,furnished,"R$1,160",R$15,"R$2,110"
no,50,2,1,1,2,acept,not furnished,"R$1,200",R$16,"R$1,855"
yes,340,2,4,3,14,acept,not furnished,"R$15,000",R$191,"R$21,010"
yes,126,4,3,4,-,acept,not furnished,"R$3,300",R$50,"R$3,517"
yes,450,4,6,2,-,acept,not furnished,"R$4,900",R$74,"R$5,460"
yes,32,1,1,0,1,acept,not furnished,"R$1,990",R$26,"R$2,416"
yes,142,3,2,1,14,acept,not furnished,"R$8,500",R$108,"R$10,750"
yes,70,2,2,1,14,acept,not furnished,"R$4,500",R$58,"R$5,557"
yes,278,4,5,2,16,acept,furnished,"R$9,000",R$115,"R$14,430"
no,130,3,2,1,7,acept,not furnished,"R$2,500",R$32,"R$3,632"
yes,245,4,4,2,16,acept,not furnished,"R$7,400",R$94,"R$10,650"
yes,50,2,1,0,-,not acept,not furnished,"R$1,100",R$17,"R$1,197"
yes,61,1,2,1,9,acept,furnished,"R$5,100",R$65,"R$6,281"
yes,30,1,1,0,3,acept,not furnished,"R$1,700",R$22,"R$2,102"
yes,135,3,3,1,10,acept,furnished,"R$4,300",R$55,"R$6,205"
yes,20,1,1,0,2,acept,furnished,"R$1,800",R$23,"R$2,555"
yes,160,3,3,2,10,acept,not furnished,"R$4,000",R$51,"R$5,670"
no,97,1,1,0,12,acept,not furnished,R$750,R$10,"R$1,289"
no,45,1,1,1,3,acept,furnished,"R$1,320",R$17,"R$1,857"
no,45,1,1,0,14,not acept,not furnished,R$500,R$7,R$792
yes,462,4,4,0,-,acept,furnished,"R$10,000",R$151,"R$12,850"
yes,110,2,2,1,1,acept,not furnished,"R$3,000",R$46,"R$3,446"
yes,40,1,1,0,-,not acept,not furnished,R$780,R$12,R$809
yes,149,4,1,3,12,not acept,not furnished,"R$7,500",R$96,"R$9,991"
yes,320,3,3,4,-,acept,not furnished,"R$4,320",R$65,"R$6,227"
yes,126,3,4,3,6,acept,not furnished,"R$3,200",R$41,"R$6,320"
yes,353,5,7,5,12,acept,not furnished,"R$10,000",R$127,"R$16,840"
yes,35,2,1,0,8,acept,not furnished,"R$1,890",R$24,"R$2,284"
yes,52,1,1,1,11,acept,not furnished,"R$2,100",R$27,"R$2,895"
yes,190,4,3,2,1,acept,not furnished,"R$7,700",R$98,"R$11,800"
yes,89,2,2,2,8,acept,furnished,"R$7,700",R$98,"R$9,589"
yes,49,1,2,0,1,acept,not furnished,"R$1,300",R$17,"R$1,317"
yes,133,4,3,0,1,acept,not furnished,"R$3,800",R$49,"R$4,708"
yes,150,3,4,3,1,acept,furnished,"R$5,500",R$70,"R$7,704"
yes,400,4,3,4,-,acept,furnished,"R$9,000",R$136,"R$10,130"
yes,480,4,4,4,12,acept,furnished,"R$15,000",R$191,"R$23,780"
yes,90,2,3,0,11,not acept,not furnished,"R$3,800",R$49,"R$5,209"
yes,90,2,2,0,-,acept,not furnished,"R$1,950",R$30,"R$2,105"
yes,450,4,4,3,7,acept,not furnished,"R$10,000",R$127,"R$15,220"
yes,80,3,2,2,11,acept,not furnished,"R$3,100",R$40,"R$4,120"
yes,48,2,1,1,6,acept,not furnished,"R$1,510",R$20,"R$2,010"
no,55,1,1,1,5,not acept,not furnished,R$680,R$9,"R$1,675"
yes,109,2,2,2,14,acept,not furnished,"R$7,900",R$101,"R$10,190"
yes,100,2,3,1,4,acept,furnished,"R$2,070",R$27,"R$3,339"
yes,185,2,3,3,8,acept,not furnished,"R$7,500",R$96,"R$11,030"
yes,45,2,1,1,1,acept,not furnished,"R$1,510",R$6,"R$1,959"
no,308,3,4,4,-,acept,not furnished,"R$8,000",R$121,"R$8,599"
yes,210,4,4,3,5,acept,furnished,"R$5,000",R$64,"R$8,781"
no,82,3,2,1,6,acept,not furnished,"R$1,500",R$20,"R$2,487"
yes,380,4,4,2,-,acept,not furnished,"R$5,500",R$83,"R$6,583"
yes,90,2,2,1,-,acept,not furnished,"R$2,600",R$40,"R$2,640"
yes,220,4,4,3,4,not acept,furnished,"R$4,930",R$63,"R$8,002"
yes,45,1,2,1,10,not acept,furnished,"R$3,000",R$39,"R$3,880"
yes,120,3,2,4,8,acept,not furnished,"R$4,500",R$58,"R$6,321"
no,70,3,2,2,2,acept,furnished,"R$2,080",R$27,"R$2,540"
yes,64,2,2,2,8,acept,not furnished,"R$2,800",R$36,"R$3,316"
yes,57,2,1,1,7,acept,not furnished,"R$1,447",R$19,"R$2,216"
yes,45,1,1,1,11,not acept,not furnished,"R$2,705",R$25,"R$3,175"
yes,160,3,4,3,-,acept,not furnished,"R$2,850",R$43,"R$3,368"
yes,55,2,2,1,-,acept,not furnished,"R$1,550",R$24,"R$1,574"
yes,50,1,1,1,-,acept,not furnished,R$900,R$14,R$973
yes,60,2,1,1,11,not acept,not furnished,"R$1,592",R$7,"R$1,965"
yes,140,5,4,1,-,acept,not furnished,"R$2,500",R$38,"R$2,538"
yes,287,4,5,3,-,acept,not furnished,"R$10,000",R$151,"R$11,110"
yes,35,1,1,1,7,acept,not furnished,"R$3,050",R$39,"R$3,519"
yes,108,3,2,2,6,acept,not furnished,"R$5,600",R$71,"R$7,146"
yes,480,4,7,8,-,acept,not furnished,"R$14,000",R$211,"R$16,400"
yes,51,2,2,1,18,acept,not furnished,"R$1,800",R$23,"R$2,205"
yes,290,2,3,4,12,acept,furnished,"R$6,000",R$77,"R$9,744"
yes,130,3,2,1,-,not acept,not furnished,"R$2,500",R$38,"R$2,959"
no,55,1,1,1,7,not acept,not furnished,"R$2,000",R$26,"R$2,235"
yes,35,1,1,0,-,not acept,furnished,"R$1,550",R$20,"R$1,570"
yes,50,3,2,0,-,acept,not furnished,"R$1,300",R$20,"R$1,420"
no,129,3,2,2,1,acept,not furnished,"R$3,310",R$42,"R$4,998"
yes,46,1,1,0,9,acept,not furnished,"R$2,067",R$21,"R$2,716"
yes,228,3,4,3,12,not acept,furnished,"R$4,800",R$61,"R$6,511"
yes,131,3,2,1,8,acept,not furnished,"R$2,400",R$31,"R$4,715"
no,36,1,1,0,4,not acept,not furnished,R$500,R$7,R$817
yes,122,3,2,1,9,acept,not furnished,"R$5,800",R$74,"R$7,919"
yes,100,2,2,0,6,not acept,not furnished,"R$1,900",R$25,"R$2,325"
yes,100,2,2,3,-,acept,not furnished,"R$3,500",R$53,"R$4,195"
yes,240,4,5,4,15,acept,furnished,"R$13,500",R$172,"R$18,370"
yes,36,1,1,0,3,not acept,furnished,"R$2,700",R$35,"R$3,235"
yes,85,2,1,1,1,acept,not furnished,"R$1,600",R$21,"R$2,021"
yes,223,4,4,5,-,acept,furnished,"R$5,000",R$76,"R$5,548"
yes,195,3,2,3,-,acept,not furnished,"R$2,255",R$34,"R$2,289"
yes,170,3,2,1,5,acept,not furnished,"R$6,500",R$83,"R$7,553"
yes,180,3,3,2,1,acept,not furnished,"R$4,800",R$61,"R$7,361"
yes,22,1,1,0,1,not acept,furnished,R$900,R$12,"R$1,252"
yes,140,2,2,2,13,acept,not furnished,"R$2,999",R$38,"R$3,993"
yes,350,3,4,4,-,acept,furnished,"R$15,000",R$226,"R$16,460"
yes,150,3,3,2,8,not acept,furnished,"R$13,500",R$172,"R$13,670"
no,411,4,5,4,-,acept,not furnished,"R$5,500",R$83,"R$6,250"
no,900,3,6,8,-,acept,not furnished,"R$15,000",R$226,"R$19,060"
yes,39,1,1,1,15,acept,furnished,"R$3,500",R$45,"R$4,232"
yes,182,3,2,2,-,acept,not furnished,"R$2,600",R$40,"R$3,262"
yes,270,5,3,2,-,acept,furnished,"R$3,150",R$48,"R$3,198"
yes,35,1,1,1,8,not acept,furnished,"R$2,896",R$37,"R$3,604"
yes,35,1,1,1,3,not acept,furnished,"R$4,200",R$54,"R$4,271"
yes,105,3,2,1,14,not acept,not furnished,"R$3,600",R$46,"R$4,836"
yes,60,2,1,1,5,acept,not furnished,"R$3,600",R$46,"R$4,491"
yes,180,3,3,2,11,acept,furnished,"R$4,250",R$54,"R$8,029"
no,42,2,1,1,3,acept,not furnished,R$846,R$11,"R$1,047"
yes,210,2,3,4,11,acept,furnished,"R$14,000",R$178,"R$17,950"
yes,170,4,4,3,10,not acept,furnished,"R$5,000",R$22,"R$8,265"
yes,230,6,4,8,-,acept,not furnished,"R$10,000",R$151,"R$10,150"
yes,280,3,3,2,9,acept,furnished,"R$5,650",R$72,"R$9,414"
yes,140,3,3,1,1,acept,not furnished,"R$1,750",R$23,"R$1,852"
yes,92,3,2,2,8,acept,not furnished,"R$3,300",R$42,"R$4,620"
yes,71,3,4,0,-,acept,not furnished,"R$4,000",R$61,"R$4,061"
yes,160,3,3,2,3,acept,not furnished,"R$10,500",R$134,"R$13,340"
yes,92,2,2,2,17,acept,furnished,"R$2,288",R$10,"R$3,138"
yes,500,5,7,7,-,acept,not furnished,"R$11,500",R$173,"R$17,170"
yes,270,3,4,2,13,acept,not furnished,"R$9,000",R$115,"R$11,950"
yes,296,4,5,5,4,acept,furnished,"R$12,900",R$164,"R$19,470"
yes,151,3,4,3,15,acept,not furnished,"R$5,852",R$75,"R$7,307"
yes,308,4,4,3,1,acept,not furnished,"R$15,000",R$191,"R$21,890"
yes,50,2,1,1,7,not acept,not furnished,"R$3,500",R$45,"R$4,545"
yes,60,2,1,0,3,acept,not furnished,"R$1,000",R$13,"R$1,413"
yes,25,1,1,0,-,acept,not furnished,"R$1,200",R$19,"R$1,264"
yes,120,4,4,4,-,acept,not furnished,"R$4,500",R$68,"R$4,568"
no,42,2,1,1,3,not acept,not furnished,R$600,R$8,"R$1,023"
yes,97,3,2,2,12,acept,not furnished,"R$2,900",R$37,"R$4,012"
yes,110,3,2,1,5,acept,furnished,"R$3,600",R$46,"R$5,078"
no,56,2,1,1,5,acept,not furnished,"R$1,400",R$18,"R$1,815"
yes,140,2,2,1,3,not acept,not furnished,"R$3,000",R$39,"R$5,111"
yes,84,3,2,2,10,acept,furnished,"R$3,000",R$39,"R$3,786"
yes,31,1,1,1,4,acept,not furnished,"R$2,625",R$34,"R$2,912"
yes,60,2,1,0,-,not acept,not furnished,"R$1,000",R$16,"R$1,050"
yes,146,3,4,3,19,not acept,not furnished,"R$9,000",R$115,"R$11,250"
yes,90,2,2,1,-,acept,not furnished,"R$2,500",R$38,"R$2,812"
yes,65,2,1,1,1,acept,not furnished,"R$1,950",R$25,"R$3,138"
yes,80,2,1,0,-,acept,not furnished,"R$1,200",R$19,"R$1,286"
yes,22,1,1,1,8,acept,furnished,"R$4,500",R$58,"R$5,295"
no,50,2,1,1,-,not acept,not furnished,"R$1,120",R$15,"R$1,412"
yes,108,3,2,2,9,not acept,furnished,"R$4,500",R$58,"R$5,867"
yes,32,1,1,0,13,acept,not furnished,"R$1,029",R$17,"R$1,304"
yes,51,1,1,1,7,acept,furnished,"R$2,782",R$11,"R$3,092"
yes,37,1,1,1,4,acept,not furnished,"R$1,500",R$20,"R$2,170"
yes,142,3,5,2,2,acept,furnished,"R$5,100",R$65,"R$6,915"
yes,220,3,4,3,1,acept,not furnished,"R$5,800",R$74,"R$9,664"
yes,300,3,4,1,15,not acept,not furnished,"R$12,000",R$153,"R$15,580"
yes,40,1,1,0,8,not acept,not furnished,"R$1,150",R$15,"R$1,606"
yes,45,2,1,1,2,not acept,furnished,"R$3,300",R$42,"R$4,809"
yes,22,1,1,0,-,not acept,not furnished,R$870,R$14,R$884
yes,78,3,2,1,2,not acept,not furnished,"R$1,900",R$25,"R$3,081"
yes,280,3,4,3,3,acept,not furnished,"R$5,200",R$66,"R$7,233"
yes,200,4,3,2,-,acept,not furnished,"R$6,660",R$101,"R$7,336"
no,65,1,1,1,12,acept,not furnished,R$980,R$13,"R$1,593"
yes,330,4,3,0,-,acept,not furnished,"R$9,800",R$148,"R$10,700"
yes,100,2,2,0,1,acept,not furnished,"R$2,000",R$26,"R$2,989"
yes,155,3,3,3,3,not acept,not furnished,"R$7,500",R$96,"R$10,510"
yes,180,3,3,1,-,acept,furnished,"R$6,800",R$87,"R$8,287"
yes,46,1,1,1,9,acept,not furnished,"R$2,200",R$28,"R$2,763"
yes,168,3,4,3,10,acept,furnished,"R$7,300",R$93,"R$10,290"
yes,140,3,2,1,8,not acept,not furnished,"R$4,000",R$51,"R$5,768"
yes,120,3,2,2,-,acept,not furnished,"R$5,000",R$76,"R$5,326"
no,100,3,2,0,2,not acept,not furnished,R$808,R$11,"R$1,715"
yes,260,3,4,3,-,acept,not furnished,"R$5,000",R$47,"R$5,440"
yes,40,1,1,0,-,acept,not furnished,R$650,R$10,R$677
yes,80,2,2,1,4,acept,not furnished,"R$3,647",R$47,"R$4,651"
yes,200,3,5,3,-,acept,not furnished,"R$2,950",R$45,"R$3,245"
yes,75,3,1,1,8,not acept,not furnished,"R$2,350",R$30,"R$3,459"
yes,360,4,5,4,2,acept,furnished,"R$12,750",R$162,"R$21,110"
yes,270,3,2,2,15,acept,not furnished,"R$10,000",R$127,"R$12,700"
no,45,1,1,0,-,not acept,not furnished,R$700,R$11,R$736
yes,177,3,3,3,4,not acept,not furnished,"R$8,500",R$108,"R$14,360"
no,104,2,2,2,8,acept,not furnished,"R$3,805",R$49,"R$5,293"
yes,30,1,1,0,18,not acept,not furnished,R$980,R$13,"R$1,583"
yes,170,3,2,1,14,not acept,not furnished,"R$4,500",R$58,"R$5,871"
yes,58,2,2,1,14,acept,not furnished,"R$2,300",R$30,"R$2,898"
yes,47,2,1,1,16,acept,not furnished,"R$1,350",R$18,"R$1,818"
no,53,1,1,1,8,not acept,not furnished,R$650,R$9,"R$1,245"
yes,75,2,1,1,-,acept,not furnished,"R$2,450",R$37,"R$2,487"
yes,22,1,1,0,25,acept,not furnished,"R$2,200",R$28,"R$2,755"
yes,76,2,1,1,-,acept,not furnished,"R$2,000",R$31,"R$2,076"
yes,40,1,1,1,8,acept,furnished,"R$2,300",R$30,"R$3,071"
yes,260,4,4,4,8,acept,not furnished,"R$10,000",R$127,"R$14,440"
yes,51,2,1,1,9,acept,not furnished,"R$2,500",R$32,"R$2,999"
yes,64,2,2,1,19,acept,furnished,"R$2,200",R$28,"R$2,699"
yes,115,2,1,0,5,acept,not furnished,"R$2,200",R$28,"R$3,795"
yes,110,2,2,1,-,acept,not furnished,"R$2,200",R$34,"R$2,426"
yes,140,3,2,1,6,not acept,not furnished,"R$2,500",R$32,"R$4,612"
yes,45,2,1,1,11,acept,not furnished,"R$1,598",R$21,"R$1,999"
yes,199,3,4,5,17,acept,furnished,"R$4,000",R$51,"R$8,351"
yes,180,3,4,1,10,acept,not furnished,"R$6,900",R$88,"R$8,730"
yes,113,3,2,2,-,acept,not furnished,"R$2,990",R$45,"R$3,057"
no,75,2,2,1,11,acept,not furnished,"R$1,189",R$16,"R$1,780"
yes,93,3,3,2,1,acept,not furnished,"R$2,275",R$29,"R$3,838"
yes,68,2,1,1,4,acept,not furnished,"R$1,200",R$16,"R$1,842"
no,200,3,4,5,-,not acept,not furnished,"R$4,300",R$65,"R$5,299"
yes,118,3,3,2,6,acept,not furnished,"R$3,500",R$45,"R$5,279"
yes,318,4,6,4,-,not acept,not furnished,"R$12,000",R$153,"R$14,990"
yes,170,3,3,4,-,acept,not furnished,"R$3,500",R$53,"R$3,775"
no,250,3,3,2,1,acept,not furnished,"R$1,700",R$22,"R$4,178"
yes,50,2,1,1,-,acept,not furnished,"R$1,100",R$14,"R$1,674"
yes,50,2,1,1,7,not acept,not furnished,"R$1,500",R$20,"R$1,867"
yes,30,1,1,1,15,not acept,furnished,"R$3,500",R$45,"R$4,340"
no,94,3,2,2,2,acept,not furnished,"R$3,500",R$45,"R$4,404"
yes,50,1,1,0,5,acept,not furnished,"R$1,850",R$24,"R$2,249"
yes,114,3,5,3,3,acept,not furnished,"R$3,800",R$49,"R$7,306"
yes,65,3,2,1,5,acept,not furnished,"R$2,230",R$29,"R$2,806"
yes,200,3,5,4,6,acept,not furnished,"R$1,720",R$22,"R$4,671"
yes,265,4,4,4,-,acept,not furnished,"R$6,000",R$91,"R$6,268"
yes,75,3,3,2,10,acept,not furnished,"R$2,000",R$26,"R$3,083"
yes,68,2,2,1,8,not acept,not furnished,"R$2,400",R$31,"R$3,156"
yes,150,3,2,0,-,acept,not furnished,"R$4,000",R$61,"R$4,085"
yes,208,3,3,3,13,acept,not furnished,"R$5,960",R$76,"R$8,881"
yes,300,2,2,2,-,acept,not furnished,"R$2,700",R$41,"R$3,041"
no,620,5,6,4,17,acept,not furnished,"R$5,850",R$75,"R$14,530"
yes,92,3,2,2,10,acept,not furnished,"R$3,500",R$45,"R$4,852"
yes,200,3,2,2,-,acept,not furnished,"R$4,500",R$68,"R$4,818"
yes,108,3,2,1,14,acept,not furnished,"R$5,000",R$64,"R$6,905"
yes,190,4,4,2,-,acept,not furnished,"R$3,500",R$53,"R$3,868"
no,87,3,2,1,12,acept,furnished,"R$1,450",R$19,"R$2,439"
yes,80,2,1,1,6,acept,not furnished,"R$1,275",R$17,"R$2,092"
yes,270,4,3,3,2,acept,not furnished,"R$6,000",R$77,"R$9,887"
yes,170,3,2,1,17,acept,not furnished,"R$4,950",R$63,"R$6,877"
yes,198,4,2,0,-,acept,not furnished,"R$4,000",R$61,"R$4,561"
no,55,1,1,0,1,acept,not furnished,R$716,R$10,R$998
yes,34,1,1,0,-,acept,not furnished,"R$1,331",R$17,"R$1,530"
yes,50,2,1,0,14,acept,not furnished,"R$1,890",R$24,"R$2,184"
yes,68,2,1,1,4,acept,furnished,"R$2,093",R$27,"R$3,381"
yes,290,4,4,0,-,acept,not furnished,"R$6,800",R$103,"R$8,003"
yes,25,1,1,0,1,not acept,not furnished,"R$1,050",R$14,"R$1,148"
yes,240,4,4,3,9,acept,not furnished,"R$2,144",R$28,"R$5,506"
yes,43,1,1,0,6,not acept,not furnished,"R$1,080",R$14,"R$1,501"
yes,150,3,1,0,3,not acept,not furnished,"R$4,300",R$55,"R$4,567"
yes,20,1,1,0,1,acept,furnished,"R$1,800",R$23,"R$2,555"
yes,48,1,1,0,-,not acept,not furnished,"R$1,100",R$17,"R$1,126"
yes,130,3,1,2,-,acept,not furnished,"R$3,800",R$58,"R$3,988"
yes,36,1,1,0,11,acept,not furnished,"R$2,300",R$30,"R$2,806"
yes,90,2,1,2,-,acept,not furnished,"R$1,560",R$24,"R$1,809"
yes,49,2,1,1,6,acept,not furnished,"R$2,100",R$27,"R$2,508"
no,70,1,1,1,4,acept,not furnished,R$870,R$12,"R$1,161"
yes,315,4,4,2,14,acept,not furnished,"R$7,450",R$95,"R$11,050"
yes,270,4,4,4,8,acept,not furnished,"R$7,000",R$89,"R$10,790"
yes,75,3,2,1,1,not acept,furnished,"R$5,700",R$73,"R$6,776"
yes,80,3,3,2,4,acept,furnished,"R$2,100",R$27,"R$3,784"
no,233,3,1,1,-,acept,not furnished,"R$2,700",R$41,"R$2,980"
yes,40,1,1,0,3,acept,furnished,"R$1,840",R$24,"R$2,254"
yes,107,2,4,2,2,not acept,not furnished,"R$11,000",R$140,"R$13,360"
yes,50,2,1,1,1,not acept,not furnished,"R$2,650",R$34,"R$3,474"
yes,113,2,1,1,5,acept,not furnished,"R$3,000",R$39,"R$4,089"
no,52,1,1,1,3,acept,furnished,"R$3,000",R$39,"R$3,828"
yes,170,4,4,3,12,acept,furnished,"R$1,440",R$19,"R$6,293"
yes,140,3,3,2,6,acept,not furnished,"R$2,580",R$33,"R$6,033"
yes,34,1,1,1,14,acept,not furnished,"R$2,800",R$36,"R$3,414"
yes,90,3,2,2,3,acept,not furnished,"R$2,450",R$32,"R$3,699"
yes,197,3,2,1,18,acept,not furnished,"R$5,500",R$70,"R$7,579"
no,146,2,1,1,8,acept,not furnished,"R$1,620",R$21,"R$2,499"
yes,30,1,1,1,9,not acept,not furnished,"R$3,000",R$39,"R$3,039"
yes,132,3,2,2,-,acept,not furnished,"R$3,800",R$58,"R$3,910"
yes,45,1,1,1,10,not acept,furnished,"R$1,800",R$23,"R$3,600"
yes,80,2,2,0,3,not acept,not furnished,"R$2,700",R$35,"R$3,666"
yes,161,4,3,3,-,acept,not furnished,"R$3,600",R$46,"R$3,946"
yes,300,2,3,2,1,acept,not furnished,"R$4,180",R$53,"R$13,070"
yes,450,3,4,2,3,acept,not furnished,"R$15,000",R$191,"R$20,830"
yes,112,3,3,2,11,not acept,not furnished,"R$3,616",R$13,"R$5,499"
yes,192,4,5,4,11,not acept,furnished,"R$15,000",R$191,"R$18,080"
yes,100,1,4,1,-,acept,not furnished,"R$11,000",R$166,"R$11,420"
